BioSampleAccession	BioSampleAccessionSecondary	BioSampleBioProjectAccession	BioSampleSRAAccession	BioSampleStrain	BioSampleBiovar	BioSampleCollectionDate	BioSampleGeographicLocation	BioSampleHost	BioSampleLat	BioSampleLatLon	BioSampleLon	BioSampleComment
SAMN08161919		PRJNA421720	SRS2750484	Yp3744		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Joaquim Santana	Polygenis		NA		KEEP: EAGER Modern
SAMN08161918		PRJNA421720	SRS2750481	Yp3743		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Badreci	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161917		PRJNA421720	SRS2750483	Yp3742		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Badreci	Pulex		NA		KEEP: EAGER Modern
SAMN08161915		PRJNA421720	SRS2750718	Yp3735		1969	Brazil:Pernambuco,Araripina,Exu,Sitio Floresta	Polygenis		NA		KEEP: EAGER Modern
SAMN08161914		PRJNA421720	SRS2750501	Yp3731		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Barrinha	Pulex		NA		KEEP: EAGER Modern
SAMN08161913		PRJNA421720	SRS2750485	Yp3726		1968	Brazil:Pernambuco,Araripina,Bodoco,Sitio Serra Pedro Paulino	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161912		PRJNA421720	SRS2750497	Yp3725		1968	Brazil:Pernambuco,Araripina,Bodoco,Sitio Taboquinha	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161911		PRJNA421720	SRS2750490	Yp3724		1968	Brazil:Pernambuco,Araripina,Araripina,Sitio Serra Cicero Mendes	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161910		PRJNA421720	SRS2750505	Yp3723		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Mamonas	Polygenis		NA		KEEP: EAGER Modern
SAMN08161909		PRJNA421720	SRS2750489	Yp3722		1968	Brazil:Pernambuco,Araripina,Bodoco,Sitio Queimada	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161908		PRJNA421720	SRS2750393	Yp3715		1968	Brazil:Pernambuco,Araripina,Araripina,Sitio Cascavel	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161907		PRJNA421720	SRS2750370	Yp3713		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha	Rattus rattus alexandrinus		NA		KEEP: EAGER Modern
SAMN08161906		PRJNA421720	SRS2750364	Yp3712		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha	Rattus rattus alexandrinus		NA		KEEP: EAGER Modern
SAMN08161905		PRJNA421720	SRS2750360	Yp3711		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Sebastiao	Xenopsylla		NA		KEEP: EAGER Modern
SAMN08161901		PRJNA421720	SRS2750367	Yp3707		1968	Brazil:Pernambuco,Araripina,Exu,Sitio Gadelha	Thrichomys		NA		KEEP: EAGER Modern
SAMN08161899		PRJNA421720	SRS2750376	Yp3705		1968	Brazil:Pernambuco,Araripina,Exu,Rua Coronel Bem Bem	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161896		PRJNA421720	SRS2750514	Yp3701		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Serrinha	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161895		PRJNA421720	SRS2750520	Yp3700		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Lagoa do Ouro	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161894		PRJNA421720	SRS2750474	Yp3699		1967	Brazil:Pernambuco,Vale de Ipojuca,Caruaru,Sitio Lagoa do Anjo	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161893		PRJNA421720	SRS2750488	Yp3698		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Jatoba	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161891		PRJNA421720	SRS2750486	Yp3695		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Liberdade	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161889		PRJNA421720	SRS2750473	Yp3692		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Ludugerio	Rattus rattus alexandrinus		NA		KEEP: EAGER Modern
SAMN08161887		PRJNA421720	SRS2750643	Yp3687		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas	Polygenis		NA		KEEP: EAGER Modern
SAMN08161886		PRJNA421720	SRS2750542	Yp3686		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Retiro	Polygenis		NA		KEEP: EAGER Modern
SAMN08161884		PRJNA421720	SRS2750559	Yp3684		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Novo Horizonte	Polygenis		NA		KEEP: EAGER Modern
SAMN08161883		PRJNA421720	SRS2750543	Yp3683		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Oriente	Rattus rattus frugivorus		NA		KEEP: EAGER Modern
SAMN08161881		PRJNA421720	SRS2750535	Yp3681		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Oriente	Xenopsylla		NA		KEEP: EAGER Modern
SAMN08161877		PRJNA421720	SRS2750692	Yp3669		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alto	Polygenis		NA		KEEP: EAGER Modern
SAMN08161875		PRJNA421720	SRS2750714	Yp3665		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Oriente	Rattus rattus alexandrinus		NA		KEEP: EAGER Modern
SAMN08161873		PRJNA421720	SRS2750668	Yp3660		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Polygenis		NA		KEEP: EAGER Modern
SAMN08161871		PRJNA421720	SRS2750657	Yp3658		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Rattus rattus frugivorus		NA		KEEP: EAGER Modern
SAMN08161870		PRJNA421720	SRS2750648	Yp3656		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Polygenis		NA		KEEP: EAGER Modern
SAMN08161868		PRJNA421720	SRS2750740	Yp3653		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Rattus rattus alexandrinus		NA		KEEP: EAGER Modern
SAMN08161864		PRJNA421720	SRS2750731	Yp3649		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Polygenis		NA		KEEP: EAGER Modern
SAMN08161862		PRJNA421720	SRS2750702	Yp3647		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Viracao	Rattus rattus frugivorus		NA		KEEP: EAGER Modern
SAMN08161859		PRJNA421720	SRS2750745	Yp3639		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Polygenis		NA		KEEP: EAGER Modern
SAMN08161858		PRJNA421720	SRS2750411	Yp3638		1967	Brazil:Pernambuco,Araripina,Exu,Sitio Alagoinha	Polygenis		NA		KEEP: EAGER Modern
SAMN08161855		PRJNA421720	SRS2750443	Yp3631		1967	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Santa Clara	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161854		PRJNA421720	SRS2750430	Yp3630		1967	Brazil:Pernambuco,Salgueiro,Sao Jose do Belmonte,Sitio Minador	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161853		PRJNA421720	SRS2750418	Yp3625		1966	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Manoel Severino	Oligoryzomys nigripes		NA		KEEP: EAGER Modern
SAMN08161849		PRJNA421720	SRS2750476	Yp3621		1966	Brazil:Pernambuco,Araripina,Exu,Sitio Retiro	Rattus rattus frugivorus		NA		KEEP: EAGER Modern
SAMN08161848		PRJNA421720	SRS2750499	Yp3620		1966	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Serrinha	Rattus rattus alexandrinus		NA		KEEP: EAGER Modern
SAMN08161847		PRJNA421720	SRS2750498	Yp3619		1966	Brazil:Pernambuco,Araripina,Exu,Serra Novo Mundo	Cerradomys subflavus		NA		KEEP: EAGER Modern
SAMN08161845		PRJNA421720	SRS2750521	Yp3600		1982	Brazil:Ceara,Baturite,Redencao,Sitio Miranda	Rattus rattus alexandrinus		NA		KEEP: EAGER Modern
SAMN08161844		PRJNA421720	SRS2750494	Yp3598		1982	Brazil:Ceara,Ipu,Ipu,Sitio Baixinha	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161839		PRJNA421720	SRS2750502	Yp3584		1997	Brazil:Ceara,Ipu,Ipu,Sitio Ipuzinho	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161838		PRJNA421720	SRS2750654	Yp3583		1986	Brazil:Paraiba,Curimatau Ocidental,Remigio,Fazenda Serrinha	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161837		PRJNA421720	SRS2750618	Yp3580		1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Bacalhau	Cerradomys subflavus		NA		KEEP: EAGER Modern
SAMN08161836		PRJNA421720	SRS2750607	Yp3578		1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Cinco Lagoas	Rattus rattus frugivorus		NA		KEEP: EAGER Modern
SAMN08161835		PRJNA421720	SRS2750624	Yp3577		1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Bacalhau	Rattus rattus frugivorus		NA		KEEP: EAGER Modern
SAMN08161834		PRJNA421720	SRS2750604	Yp3576		1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Cinco Lagoas	Cerradomys subflavus		NA		KEEP: EAGER Modern
SAMN08161831		PRJNA421720	SRS2750612	Yp3572		1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Fazenda Pedra d'agua	Holochilus sciureus		NA		KEEP: EAGER Modern
SAMN08161828		PRJNA421720	SRS2750398	Yp3569		1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Valerio	Rattus rattus frugivorus		NA		KEEP: EAGER Modern
SAMN08161827		PRJNA421720	SRS2750399	Yp3568		1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Pedra d'agua	Rattus rattus frugivorus		NA		KEEP: EAGER Modern
SAMN08161826		PRJNA421720	SRS2750432	Yp3567		1986	Brazil:Paraiba,Curimatau Ocidental,Barra de Santa Rosa,Sitio Malhada da Catingueira	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161825		PRJNA421720	SRS2750392	Yp3566		1986	Brazil:Paraiba,Curimatau Oriental,Solanea,Sitio Pedra d'agua	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161820		PRJNA421720	SRS2750410	Yp3559		1980	Brazil:Pernambuco,Araripina,Ipubi,Sitio Baixa	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161816		PRJNA421720	SRS2750691	Yp3551		1979	Brazil:Pernambuco,Vale do Ipojuca,Tacaimbo,Sitio Malhada do Jua	Polygenis		NA		KEEP: EAGER Modern
SAMN08161814		PRJNA421720	SRS2750739	Yp3548		1979	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Santa Tereza	Polygenis		NA		KEEP: EAGER Modern
SAMN08161813		PRJNA421720	SRS2750730	Yp3547		1979	Brazil:Paraiba,Umbuzeiro,Natuba,Sitio Estivas	Cerradomys subflavus		NA		KEEP: EAGER Modern
SAMN08161812		PRJNA421720	SRS2750682	Yp3545		1979	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Salgada	Cerradomys subflavus		NA		KEEP: EAGER Modern
SAMN08161811		PRJNA421720	SRS2750696	Yp3544		1979	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Conceicao	Cerradomys subflavus		NA		KEEP: EAGER Modern
SAMN08161806		PRJNA421720	SRS2750582	Yp3539		1979	Brazil:Ceara,Ipu,Ipu,Sitio Macaco	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161805		PRJNA421720	SRS2750619	Yp3537		1979	Brazil:Ceara,Ipu,Ipu,Sitio Taboca	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161804		PRJNA421720	SRS2750574	Yp3536		1979	Brazil:Ceara:Baturite,Aratuba,Sitio Fernandes	Calomys callosus		NA		KEEP: EAGER Modern
SAMN08161803		PRJNA421720	SRS2750596	Yp3535		1978	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Santo Amaro	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161802		PRJNA421720	SRS2750575	Yp3534		1978	Brazil:Ceara,Ibiapaba,Sao Benedito,Sitio Carnauba	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161801		PRJNA421720	SRS2750569	Yp3533		1978	Brazil:Ceara,Ipu,Ipu,Sitio Sao Joao	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161800		PRJNA421720	SRS2750570	Yp3532		1978	Brazil:Ceara,Ipu,Ipu,Sitio Tabocal	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161799		PRJNA421720	SRS2750572	Yp3531		1978	Brazil:Bahia:Serrinha,Serrinha,Fazenda Flores	rodent		NA		KEEP: EAGER Modern
SAMN08161798		PRJNA421720	SRS2750447	Yp3529		1978	Brazil:Ceara,Ipu,Ipu,Sitio Almas	Rattus rattus		NA		KEEP: EAGER Modern
SAMN08161797		PRJNA421720	SRS2750464	Yp3528		1978	Brazil:Ceara,Baturite,Aratuba,Sitio Serrinha	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161796		PRJNA421720	SRS2750452	Yp3527		1978	Brazil:Pernambuco,Pajeu,Triunfo,Sitio Sao Jose dos Vianas	Cerradomys subflavus		NA		KEEP: EAGER Modern
SAMN08161794		PRJNA421720	SRS2750450	Yp3525		1978	Brazil:Ceara,Ipu,Ipu,Sitio Cabeca Dantas	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161792		PRJNA421720	SRS2750457	Yp3522		1978	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161791		PRJNA421720	SRS2750525	Yp3521		1977	Brazil:Pernambuco,Araripina,Araripina,Sitio Alto Alegre	Polygenis		NA		KEEP: EAGER Modern
SAMN08161790		PRJNA421720	SRS2750455	Yp3520		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Brejo Santo Inacio	Polygenis		NA		KEEP: EAGER Modern
SAMN08161789		PRJNA421720	SRS2750453	Yp3519		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Pedro	Polygenis		NA		KEEP: EAGER Modern
SAMN08161788		PRJNA421720	SRS2750720	Yp3518		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Pedro	Polygenis		NA		KEEP: EAGER Modern
SAMN08161787		PRJNA421720	SRS2750755	Yp3517		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Neco	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161786		PRJNA421720	SRS2750727	Yp3516		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Inhame	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161785		PRJNA421720	SRS2750719	Yp3515		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Lagoa do Alvino	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161784		PRJNA421720	SRS2750751	Yp3512		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Lagoa do Ouro	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161783		PRJNA421720	SRS2750735	Yp3511		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Cavaco	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161782		PRJNA421720	SRS2750713	Yp3510		1975	Brazil:Pernambuco,Araripina,Exu,Vila Timorante	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161781		PRJNA421720	SRS2750540	Yp3509		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Lagoa Seca 2	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161780		PRJNA421720	SRS2750711	Yp3508		1975	Brazil:Pernambuco,Araripina,Ipubi,Sitio Cacimbinha	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161779		PRJNA421720	SRS2750717	Yp3507		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Lagoa do Alvino	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161778		PRJNA421720	SRS2750635	Yp3506		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Graca	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161777		PRJNA421720	SRS2750620	Yp3505		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Pitombeira	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161776		PRJNA421720	SRS2750675	Yp3504		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Serra Antonio Domingos	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161775		PRJNA421720	SRS2750622	Yp3503		1975	Brazil:Pernambuco,Araripina,Ipubi,Sitio Cacimbinha	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161774		PRJNA421720	SRS2750633	Yp3502		1975	Brazil:Pernambuco,Araripina,Ipubi,Sitio Cacimbinha	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161773		PRJNA421720	SRS2750639	Yp3501		1975	Brazil:Pernambuco,Araripina,Ipubi,Sitio Cacimbinha	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161772		PRJNA421720	SRS2750616	Yp3500		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Mulunguzinho	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161771		PRJNA421720	SRS2750631	Yp3499		1975	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira	Polygenis		NA		KEEP: EAGER Modern
SAMN08161770		PRJNA421720	SRS2750621	Yp3498		1975	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira	Polygenis		NA		KEEP: EAGER Modern
SAMN08161767		PRJNA421720	SRS2750526	Yp3495		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Bandeira	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161766		PRJNA421720	SRS2750523	Yp3494		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Campo Grande	Thrichomys		NA		KEEP: EAGER Modern
SAMN08161765		PRJNA421720	SRS2750510	Yp3492		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Nascente	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161764		PRJNA421720	SRS2750504	Yp3491		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Torre Grande	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161763		PRJNA421720	SRS2750516	Yp3490		1975	Brazil:Piaui,Alto Medio Caninde,Simoes,Sitio Barrinha	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161762		PRJNA421720	SRS2750511	Yp3489		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Batente	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161761		PRJNA421720	SRS2750519	Yp3487		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Joaquim dos Ferreiras	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161760		PRJNA421720	SRS2750528	Yp3485		1975	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira	Thrichomys		NA		KEEP: EAGER Modern
SAMN08161759		PRJNA421720	SRS2750513	Yp3484		1975	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira	Polygenis		NA		KEEP: EAGER Modern
SAMN08161758		PRJNA421720	SRS2750382	Yp3483		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Canavieira	Polygenis		NA		KEEP: EAGER Modern
SAMN08161757		PRJNA421720	SRS2750425	Yp3482		1975	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira	Polygenis		NA		KEEP: EAGER Modern
SAMN08161756		PRJNA421720	SRS2750390	Yp3481		1975	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira	Polygenis		NA		KEEP: EAGER Modern
SAMN08161755		PRJNA421720	SRS2750518	Yp3480		1975	Brazil:Pernambuco,Araripina,Exu,Sitio dos Pereira	Polygenis		NA		KEEP: EAGER Modern
SAMN08161754		PRJNA421720	SRS2750402	Yp3479		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Canavieira	Oligoryzomys nigripes		NA		KEEP: EAGER Modern
SAMN08161752		PRJNA421720	SRS2750388	Yp3476		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Campo Grande	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161751		PRJNA421720	SRS2750385	Yp3475		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Vira Mao	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161750		PRJNA421720	SRS2750384	Yp3474		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Cansancao	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161748		PRJNA421720	SRS2750723	Yp3472		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Inacio	Thrichomys		NA		KEEP: EAGER Modern
SAMN08161747		PRJNA421720	SRS2750671	Yp3471		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Serra da Torre	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161746		PRJNA421720	SRS2750672	Yp3470		1975	Brazil:Pernambuco,Araripina,Araripina,Sitio Inacio	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161744		PRJNA421720	SRS2750747	Yp3466		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Saco Grande	Polygenis		NA		KEEP: EAGER Modern
SAMN08161743		PRJNA421720	SRS2750674	Yp3465		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Patrimonio	Polygenis		NA		KEEP: EAGER Modern
SAMN08161742		PRJNA421720	SRS2750680	Yp3464		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Nazare	Polygenis		NA		KEEP: EAGER Modern
SAMN08161741		PRJNA421720	SRS2750681	Yp3463		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Altair	Polygenis		NA		KEEP: EAGER Modern
SAMN08161740		PRJNA421720	SRS2750700	Yp3462		1975	Brazil:Pernambuco,Araripina,Exu,Sitio Barro	Polygenis		NA		KEEP: EAGER Modern
SAMN08161739		PRJNA421720	SRS2750679	Yp3461		1974	Brazil:Pernambuco,Araripina,Exu,Exu	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161735		PRJNA421720	SRS2750565	Yp3457		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Alto do Ferreira	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161732		PRJNA421720	SRS2750605	Yp3453		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Ludugerio	Polygenis		NA		KEEP: EAGER Modern
SAMN08161731		PRJNA421720	SRS2750579	Yp3452		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Sao Luiz	Polygenis		NA		KEEP: EAGER Modern
SAMN08161730		PRJNA421720	SRS2750608	Yp3448		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Mata Fresca	Cerradomys subflavus		NA		KEEP: EAGER Modern
SAMN08161728		PRJNA421720	SRS2750467	Yp3446		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Jurubeba	Cerradomys subflavus		NA		KEEP: EAGER Modern
SAMN08161726		PRJNA421720	SRS2750471	Yp3442		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Saudade	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161725		PRJNA421720	SRS2750493	Yp3440		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Brejo Santo Inacio	Pulex		NA		KEEP: EAGER Modern
SAMN08161724		PRJNA421720	SRS2750548	Yp3439		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Brejo Santo Inacio	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161723		PRJNA421720	SRS2750458	Yp3438		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Morada Nova	Polygenis		NA		KEEP: EAGER Modern
SAMN08161720		PRJNA421720	SRS2750496	Yp3431		1974	Brazil:Pernambuco,Araripina,Exu,Sitio Serra Pau Casado	Polygenis		NA		KEEP: EAGER Modern
SAMN08161718		PRJNA421720	SRS2750587	Yp3413		1972	Brazil:Pernambuco,Araripina,Exu,Sitio Retiro	Polygenis		NA		KEEP: EAGER Modern
SAMN08161717		PRJNA421720	SRS2750585	Yp3412		1972	Brazil:Pernambuco,Araripina,Exu,Sitio Lagoa da Rapadura	Polygenis		NA		KEEP: EAGER Modern
SAMN08161715		PRJNA421720	SRS2750576	Yp3408		1972	Brazil:Pernambuco,Araripina,Bodoco,Sitio Araruna	Polygenis		NA		KEEP: EAGER Modern
SAMN08161714		PRJNA421720	SRS2750578	Yp3406		1972	Brazil:Ceara,Ipu,Ipu,Sitio Macambira	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161713		PRJNA421720	SRS2750577	Yp3405		1972	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161712		PRJNA421720	SRS2750660	Yp3404		1972	Brazil:Ceara,Ibiapaba,Sao Benedito,Sitio Pimenteira	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161711		PRJNA421720	SRS2750611	Yp3400		1971	Brazil:Ceara,Ipu,Ipu,Sitio Lagoa Velha	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161710		PRJNA421720	SRS2750595	Yp3399		1971	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Lagoa do Firmino	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161709		PRJNA421720	SRS2750580	Yp3398		1971	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Sao Felix	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161708		PRJNA421720	SRS2750634	Yp3396		1971	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Santo Antonio dos Camelos	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161707		PRJNA421720	SRS2750646	Yp3393		1971	Brazil:Ceara,Ibiapaba,Guaraciaba do Norte,Sitio Buriti Apua	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161705		PRJNA421720	SRS2750667	Yp3386		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Misericordia	Polygenis		NA		KEEP: EAGER Modern
SAMN08161703		PRJNA421720	SRS2750637	Yp3381		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Misericordia	Calomys callosus		NA		KEEP: EAGER Modern
SAMN08161701		PRJNA421720	SRS2750641	Yp3370		1971	Brazil:Pernambuco,Araripina,Exu,Sitio Pamonha	Polygenis		NA		KEEP: EAGER Modern
SAMN08161700		PRJNA421720	SRS2750669	Yp3364		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Entremontes	Polygenis		NA		KEEP: EAGER Modern
SAMN08161699		PRJNA421720	SRS2750661	Yp3362		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Entremontes	Polygenis		NA		KEEP: EAGER Modern
SAMN08161698		PRJNA421720	SRS2750753	Yp3358		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Sapo	Homo sapiens		NA		KEEP: EAGER Modern
SAMN08161696		PRJNA421720	SRS2750756	Yp3352		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Oriente	Polygenis		NA		KEEP: EAGER Modern
SAMN08161692		PRJNA421720	SRS2750752	Yp3342		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas	Polygenis		NA		KEEP: EAGER Modern
SAMN08161691		PRJNA421720	SRS2750742	Yp3341		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Espalhado	Polygenis		NA		KEEP: EAGER Modern
SAMN08161689		PRJNA421720	SRS2750733	Yp3338		1970	Brazil:Pernambuco,Araripina,Exu,Sitio Cacimbas	Polygenis		NA		KEEP: EAGER Modern
