BioSampleAccession	AssemblyFTPGenbank	SRARunAccession	BioSampleStrain	BioSampleCollectionDate	BioSampleHost	BioSampleGeographicLocation	BioSampleBiovar	PubmedArticleTitle	PubmedAuthorsLastName	AssemblyContigCount	AssemblyTotalLength	NucleotideGenes	NucleotideGenesTotal	NucleotidePseudoGenes	NucleotidePseudoGenesTotal	NucleotiderRNAs	AssemblySubmissionDate	SRARunPublishDate	BioSampleComment
SAMEA5818813		ERR3457866;ERR3457643																2019-08-06 16:34:18;2019-08-06 17:59:34	
SAMEA5818812		ERR3457865;ERR3457642																2019-08-06 16:34:18;2019-08-06 17:59:34	
SAMEA5818811		ERR3457641;ERR3457640;ERR3457639;ERR3457638;ERR3457637;ERR3457636;ERR3457635;ERR3457634;ERR3457633;ERR3457632;ERR3457631;ERR3457630																2019-08-06 17:59:34	
SAMEA5818810		ERR3457629;ERR3457628;ERR3457627;ERR3457626;ERR3457625;ERR3457624;ERR3457623;ERR3457622;ERR3457621;ERR3457620;ERR3457619;ERR3457618																2019-08-06 17:59:34;2019-08-06 17:59:34;2019-08-06 17:59:34;2019-08-06 17:59:34;2019-08-06 17:59:34;2019-08-06 17:59:33;2019-08-06 17:59:33;2019-08-06 17:59:33;2019-08-06 17:59:33;2019-08-06 17:59:33;2019-08-06 17:59:33;2019-08-06 17:59:33	
SAMEA5818809		ERR3457617;ERR3457616;ERR3457615;ERR3457614;ERR3457613;ERR3457612;ERR3457611;ERR3457610;ERR3457609;ERR3457608;ERR3457607;ERR3457606																2019-08-06 17:59:33;2019-08-06 17:59:33;2019-08-06 17:59:33;2019-08-06 17:59:33;2019-08-06 17:59:33;2019-08-06 16:34:18;2019-08-06 16:34:18;2019-08-06 16:34:18;2019-08-06 16:34:18;2019-08-06 16:34:18;2019-08-06 16:34:18;2019-08-06 16:34:18	
SAMEA5818808		ERR3457605;ERR3457604;ERR3457603;ERR3457602;ERR3457601;ERR3457600;ERR3457599;ERR3457598;ERR3457597;ERR3457596;ERR3457595;ERR3457594																2019-08-06 16:34:18	
SAMEA5818807		ERR3457864;ERR3457593																2019-08-06 17:59:37;2019-08-06 16:34:18	
SAMEA5818806		ERR3457863;ERR3457592																2019-08-06 17:59:37;2019-08-06 16:34:18	
SAMEA5818805		ERR3457862;ERR3457591																2019-08-06 17:59:37;2019-08-06 16:34:18	
SAMEA5818804		ERR3457861;ERR3457590																2019-08-06 17:59:37;2019-08-06 16:34:18	
SAMEA5818803		ERR3457860;ERR3457589																2019-08-06 17:59:37;2019-08-06 16:34:18	
SAMEA5818802		ERR3457859;ERR3457588																2019-08-06 17:59:37;2019-08-06 16:34:18	
SAMEA5818801		ERR3457858;ERR3457587																2019-08-06 17:59:37;2019-08-06 16:34:18	
SAMEA5818800		ERR3457586;ERR3457585;ERR3457584;ERR3457583;ERR3457857																2019-08-06 16:34:18;2019-08-06 16:34:18;2019-08-06 16:34:18;2019-08-06 16:34:18;2019-08-06 17:59:37	
SAMEA5818799		ERR3457856;ERR3457582																2019-08-06 17:59:37;2019-08-06 16:34:18	
SAMEA5818798		ERR3457855;ERR3457581																2019-08-06 16:34:18	
SAMN01991279		SRR867106	KIM (D27)	1968	Homo sapiens													2013-05-23 16:39:27	
SAMN02769635		SRR1297147;SRR1286099;SRR1283870;SRR1283869;SRR1283867	771	unknown		Georgia: Ninotsminda	Medievalis											2014-05-23 08:21:09;2014-05-15 00:00:00;2014-05-15 00:00:00;2014-05-15 00:00:00;2014-05-15 00:00:00	
SAMN02713604	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/708/735/GCA_000708735.1_Lactobacillus_acidophilus_VKMV-2020D		VKMV-2020D	11-Jan-1988		Russia: Rostov-on-Don				25	7264						2014/06/16 00:00		
SAMN01991267		SRR857244	Java (D88)															2013-05-18 00:00:00	
SAMN01991266		SRR857245	Kimberley (D17)															2013-05-18 00:00:00	
SAMN01991264		SRR857248	TS (D5)															2013-05-18 00:00:00	
SAMN01853159		SRR651090	17/99 B	1999	Homo sapiens	Madagascar: Mahajanga												2015-07-22 17:10:47	
SAMN12254088			wild-type strain 201					Hfq Globally Binds and Destabilizes sRNAs and mRNAs in Yersinia pestis.	Han;Chen;Yan;Gao;Liu;Xue;Zhang;Yang										
SAMN12254087			wild-type strain 201 carrying pACYC184-Hfq-Flag					Hfq Globally Binds and Destabilizes sRNAs and mRNAs in Yersinia pestis.	Han;Chen;Yan;Gao;Liu;Xue;Zhang;Yang										
SAMN12254086			wild-type strain 201 carrying pACYC184-Flag					Hfq Globally Binds and Destabilizes sRNAs and mRNAs in Yersinia pestis.	Han;Chen;Yan;Gao;Liu;Xue;Zhang;Yang										
SAMN12214386		SRR9643627;SRR9643628;SRR9643629;SRR9643630						FPR1 is the plague receptor on host immune cells.	Osei-Owusu;Charlton;Kim;Missiakas;Schneewind									2019-07-08 08:27:35;2019-07-08 08:27:35;2019-07-08 08:27:35;2019-07-08 08:27:35	
SAMN12214385		SRR9643631;SRR9643632;SRR9643633;SRR9643634						FPR1 is the plague receptor on host immune cells.	Osei-Owusu;Charlton;Kim;Missiakas;Schneewind									2019-07-08 08:27:35;2019-07-08 08:27:35;2019-07-08 08:27:35;2019-07-08 08:27:35	
SAMN12214384		SRR9643635						FPR1 is the plague receptor on host immune cells.	Osei-Owusu;Charlton;Kim;Missiakas;Schneewind									2019-07-08 08:27:35	
SAMN12214383		SRR9643636						FPR1 is the plague receptor on host immune cells.	Osei-Owusu;Charlton;Kim;Missiakas;Schneewind									2019-07-08 08:27:35	
SAMN12214382		SRR9643637						FPR1 is the plague receptor on host immune cells.	Osei-Owusu;Charlton;Kim;Missiakas;Schneewind									2019-07-08 08:27:35	
SAMN12214381		SRR9643638						FPR1 is the plague receptor on host immune cells.	Osei-Owusu;Charlton;Kim;Missiakas;Schneewind									2019-07-08 08:27:35	
SAMN12011895	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/445/GCA_006376445.1_ASM637644v1		C-144	missing	Meriones tamariscinus	missing				252	4417196		4,166		306	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00		
SAMN12138636	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/546/745/GCA_006546745.1_ASM654674v1		I_3269	1990-08-29	Ochotona pallasi	Mongolia: Bayan-Ulgij aimag, Sagsai sum				280	4641539		4,412		236	2, 1, 1 (5S, 16S, 23S)	2019/07/02 00:00		
SAMN12138635	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/546/725/GCA_006546725.1_ASM654672v1		I_3196	1986-10-10	Ochotona pallasi	Mongolia: Govi-Altai Aimag, Altai Sum				193	4636541		4,376		265	2, 1, 1 (5S, 16S, 23S)	2019/07/02 00:00		
SAMN12138633	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/546/665/GCA_006546665.1_ASM654666v1		I_3193	1987-05-27	Ochotona pallasi	Mongolia: Khovd Aimag, Khovd Sum				219	4635751		4,370		213	2, 1, 1 (5S, 16S, 23S)	2019/07/02 00:00		
SAMN12131171	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/517/425/GCA_006517425.1_ASM651742v1		I_3068	1982-05-14	Lasiopodomys brandti	Mongolia: Uverhangaj Aimag, Zuunbayan-Ulaan Sum				213	4635102		4,371		205	2, 1, 1 (5S, 16S, 23S)	2019/06/30 00:00		
SAMEA5661394		ERR3341116																2019-05-31 10:02:46	
SAMEA5661393		ERR3341237;ERR3341155																2019-05-31 10:02:47;2019-05-31 10:02:46	
SAMEA5661392		ERR3341235;ERR3341153																2019-05-31 10:02:47;2019-05-31 10:02:46	
SAMEA5661391		ERR3341152																2019-05-31 10:02:46	
SAMEA5661390		ERR3341234;ERR3341151																2019-05-31 10:02:47;2019-05-31 10:02:46	
SAMEA5661389		ERR3341233;ERR3341150																2019-05-31 10:02:47;2019-05-31 10:02:46	
SAMEA5661388		ERR3341232;ERR3341149																2019-05-31 10:02:47;2019-05-31 10:02:46	
SAMEA5661387		ERR3341231;ERR3341148																2019-05-31 10:02:47;2019-05-31 10:02:46	
SAMEA5661386		ERR3341230;ERR3341147																2019-05-31 10:02:47;2019-05-31 10:02:46	
SAMEA5661385		ERR3341229;ERR3341146																2019-05-31 10:02:47;2019-05-31 10:02:46	
SAMEA5661384		ERR3341236;ERR3341154																2019-05-31 10:02:47;2019-05-31 10:02:46	
SAMEA5661383		ERR3341228;ERR3341227;ERR3341226;ERR3341225;ERR3341224;ERR3341223;ERR3341222;ERR3341221;ERR3341220;ERR3341219;ERR3341218;ERR3341217																2019-05-31 10:02:47	
SAMEA5661382		ERR3341145;ERR3341144																2019-05-31 10:02:46	
SAMEA5661381		ERR3341216;ERR3341215;ERR3341214;ERR3341213;ERR3341212;ERR3341211;ERR3341210;ERR3341209;ERR3341208;ERR3341207;ERR3341206;ERR3341205																2019-05-31 10:02:47	
SAMEA5661380		ERR3341204;ERR3341203;ERR3341202;ERR3341201;ERR3341200;ERR3341199;ERR3341198;ERR3341197;ERR3341196;ERR3341195;ERR3341194;ERR3341193																2019-05-31 10:02:47	
SAMEA5661379		ERR3341143;ERR3341142																2019-05-31 10:02:46	
SAMEA5661378		ERR3341192;ERR3341191;ERR3341190;ERR3341189;ERR3341188;ERR3341187;ERR3341186;ERR3341185;ERR3341184;ERR3341183;ERR3341182;ERR3341181																2019-05-31 10:02:47	
SAMEA5661377		ERR3341141																2019-05-31 10:02:46	
SAMEA5661376		ERR3341140;ERR3341139																2019-05-31 10:02:46	
SAMEA5661375		ERR3341138;ERR3341137																2019-05-31 10:02:46	
SAMEA5661374		ERR3341136																2019-05-31 10:02:46	
SAMEA5661373		ERR3341135;ERR3341134																2019-05-31 10:02:46	
SAMEA5661372		ERR3341133;ERR3341132																2019-05-31 10:02:46	
SAMEA5661371		ERR3341131;ERR3341130																2019-05-31 10:02:46	
SAMEA5661370		ERR3341129																2019-05-31 10:02:46	
SAMEA5661369		ERR3341128;ERR3341127																2019-05-31 10:02:46	
SAMEA5661368		ERR3341126																2019-05-31 10:02:46	
SAMEA5661367		ERR3341125;ERR3341124																2019-05-31 10:02:46	
SAMEA5661366		ERR3341123																2019-05-31 10:02:46	
SAMEA5661365		ERR3341122;ERR3341121																2019-05-31 10:02:46	
SAMEA5661364		ERR3341120;ERR3341119																2019-05-31 10:02:46	
SAMEA5661363		ERR3341118																2019-05-31 10:02:46	
SAMEA5661362		ERR3341180;ERR3341179;ERR3341178;ERR3341177;ERR3341176;ERR3341175;ERR3341174;ERR3341173;ERR3341172;ERR3341171;ERR3341170;ERR3341169																2019-05-31 10:02:47;2019-05-31 10:02:47;2019-05-31 10:02:47;2019-05-31 10:02:46;2019-05-31 10:02:46;2019-05-31 10:02:46;2019-05-31 10:02:46;2019-05-31 10:02:46;2019-05-31 10:02:46;2019-05-31 10:02:46;2019-05-31 10:02:46;2019-05-31 10:02:46	
SAMEA5661361		ERR3341168;ERR3341117																2019-05-31 10:02:46	
SAMEA5661360		ERR3341167;ERR3341166;ERR3341165;ERR3341164;ERR3341163;ERR3341162;ERR3341161;ERR3341160;ERR3341159;ERR3341158;ERR3341157;ERR3341156																2019-05-31 10:02:46	
SAMN04455485			Yersinia pestis hfq mutant					Hfq Globally Binds and Destabilizes sRNAs and mRNAs in Yersinia pestis.	Han;Chen;Yan;Gao;Liu;Xue;Zhang;Yang										
SAMN04455484			Yersinia pestis hfq mutant carrying pACYC184-Hfq-Flag					Hfq Globally Binds and Destabilizes sRNAs and mRNAs in Yersinia pestis.	Han;Chen;Yan;Gao;Liu;Xue;Zhang;Yang										
SAMN04455483			Yersinia pestis wild-type strain 201 carrying pACYC184-Flag					Hfq Globally Binds and Destabilizes sRNAs and mRNAs in Yersinia pestis.	Han;Chen;Yan;Gao;Liu;Xue;Zhang;Yang										
SAMN04455482			Yersinia pestis hfq mutant carrying pACYC184-Hfq-Flag					Hfq Globally Binds and Destabilizes sRNAs and mRNAs in Yersinia pestis.	Han;Chen;Yan;Gao;Liu;Xue;Zhang;Yang										
SAMN04455481			Yersinia pestis wild-type strain 201 carrying pACYC184-Flag					Hfq Globally Binds and Destabilizes sRNAs and mRNAs in Yersinia pestis.	Han;Chen;Yan;Gao;Liu;Xue;Zhang;Yang										
SAMN03161124	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/775/GCA_000834775.1_ASM83477v1	SRR2175561;SRR2175560;SRR2175559	Dodson	1967	Human (male, 4.5 yrs)	USA: Tuba City, AZ	O	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	3	4777968						2015/02/09 00:00	2015-08-24 16:37:30;2015-08-24 16:32:39;2015-08-24 16:57:09	
SAMN03120838	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/335/GCA_000834335.1_ASM83433v1	SRR2147692;SRR2147691;SRR2147690	Shasta	1954		USA: California		Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	4	4835409						2015/02/09 00:00	2015-08-11 13:18:41;2015-08-11 13:12:23;2015-08-11 13:22:46	
SAMN02905649		SRR1514287	EV76	missing		missing												2015-07-11 00:01:56	
SAMN02905648		SRR1514286	EV76	missing		missing												2015-07-11 00:01:56	
SAMN02777961	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/734/805/GCA_000734805.1_ASM73480v1		231(708)	1947		Kyrgyzstan				298	4568801	4,067		335		4 (5S, 16S, 23S)	2014/07/28 00:00		
SAMN02769655	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/275/GCA_000834275.1_ASM83427v1	SRR1993645;SRR1283953;SRR1283952;SRR1283951	Harbin35	1940		China: Manchuria	Medievalis	Thirty-Two Complete Genome Assemblies of Nine Yersinia Species, Including Y. pestis, Y. pseudotuberculosis, and Y. enterocolitica.	Johnson;Daligault;Davenport;Jaissle;Frey;Ladner;Broomall;Bishop-Lilly;Bruce;Coyne;Gibbons;Lo;Munk;Rosenzweig;Koroleva;Palacios;Redden;Xu;Minogue;Chain	4	4709246						2015/02/09 00:00	2015-05-05 22:32:58;2014-05-15 00:00:00;2014-05-15 00:00:00;2014-05-15 00:00:00	
SAMN02404404	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/615/GCA_000169615.1_ASM16961v1		UG05-0454				Antiqua			98	4838246						2007/03/26 00:00		
SAMN02404403	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/635/GCA_000169635.1_ASM16963v1		MG05-1020				Orientalis			80	4977609						2007/03/26 00:00		
SAMN02404402	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/655/GCA_000169655.1_ASM16965v1		K1973002				Mediaevalis	Draft genome sequences of Yersinia pestis isolates from natural foci of endemic plague in China.	Eppinger;Guo;Sebastian;Song;Lindler;Yang;Ravel	73	4720694						2007/03/26 00:00		
SAMN02404401	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/675/GCA_000169675.1_ASM16967v1		B42003004				Antiqua	Draft genome sequences of Yersinia pestis isolates from natural foci of endemic plague in China.	Eppinger;Guo;Sebastian;Song;Lindler;Yang;Ravel	69	4841690						2007/03/26 00:00		
SAMN02404400	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/169/695/GCA_000169695.1_ASM16969v1		E1979001				Antiqua	Draft genome sequences of Yersinia pestis isolates from natural foci of endemic plague in China.	Eppinger;Guo;Sebastian;Song;Lindler;Yang;Ravel	75	4847813						2007/03/26 00:00		
SAMN02404399	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/170/275/GCA_000170275.1_ASM17027v1		F1991016				Orientalis	Draft genome sequences of Yersinia pestis isolates from natural foci of endemic plague in China.	Eppinger;Guo;Sebastian;Song;Lindler;Yang;Ravel	107	4892085						2007/05/16 00:00		
SAMN02404398	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/168/235/GCA_000168235.2_ASM16823v2;ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/168/235/GCA_000168235.1_ASM16823v1		IP275	1995		Madagascar: Ambalavao district	Orientalis			102;101	5322065;5139152						2008/01/17 00:00		
SAMN02403943	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/525/GCA_000182525.1_ASM18252v1		PEXU2				Orientalis			12	4770886						2009/05/08 00:00		
SAMN02403942	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/182/505/GCA_000182505.1_ASM18250v1		India 195				Orientalis			41	4719608						2009/05/08 00:00		
SAMN02403021	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/324/785/GCA_000324785.1_ASM32478v1		E1979001				Antiqua	Historical variations in mutation rate in an epidemic pathogen, Yersinia pestis.	Cui;Yu;Yan;Li;Li;Jombart;Weinert;Wang;Guo;Xu;Zhang;Zheng;Qin;Xiao;Wu;Wang;Zhou;Qi;Du;Wu;Yang;Cao;Wang;Wang;Yao;Rakin;Li;Falush;Balloux;Achtman;Song;Wang;Yang	941	4516254						2012/12/07 00:00		
SAMN01991273		SRR867059	2106	2001	Homo sapiens	USA: NM												2013-05-24 09:04:48	
SAMN01991272		SRR867048	2055	1998	Homo sapiens	USA: NM												2013-05-23 15:44:09	
SAMN01991271		SRR867047	2965	1995	Homo sapiens	USA: NM												2013-05-23 15:43:08	
SAMN01991270		SRR867046	4412	1991	Homo sapiens	USA: NM												2013-05-23 15:10:06	
SAMN01991269		SRR857242	4954	1987	Homo sapiens	USA: NM												2013-05-18 00:00:00	
SAMN01991268		SRR857243	1901b	1983	Homo sapiens	USA: NM												2013-05-18 00:00:00	
SAMN02602918	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/591/005/GCA_000591005.1_548		548	04-Sep-1948	Ovis aries	Russia: Saratov region				123	3274707	3,408		306		3 (5S, 16S, 23S)	2014/03/14 00:00		
SAMN02640258				Dec-2012	Marmota himalayana	China: Huzhu County, Qinghai													
SAMN12012142	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/585/GCA_006376585.1_ASM637658v1		C-371	1978	Cricetulus migratorius	Russia				199	4502100		4,271		229	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00		
SAMN12012133	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/575/GCA_006376575.1_ASM637657v1		C-284	1971	Spermophilus pygmaeus	Russia				259	4432033		4,191		249	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00		
SAMN12012131	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/535/GCA_006376535.1_ASM637653v1		C-281	1970	Spermophilus pygmaeus	Russia				526	4397657		4,331		764	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00		
SAMN12012010	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/545/GCA_006376545.1_ASM637654v1		C-273	1969	Microtus arvalis	Armenia				255	4540622		4,303		483	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00		
SAMN12011946	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/505/GCA_006376505.1_ASM637650v1		C-232	1968	Microtus arvalis	Azerbaijan				221	4541338		4,310		484	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00		
SAMN12011930	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/495/GCA_006376495.1_ASM637649v1		C-231	1968	Meriones libycus	Azerbaijan				235	4383063		4,114		259	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00		
SAMN12011899	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/475/GCA_006376475.1_ASM637647v1		C-224	1968	Meriones libycus	Azerbaijan				243	4285693		4,021		962	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00		
SAMN12011893	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/435/GCA_006376435.1_ASM637643v1		C-62	1959	Meriones libycus	Azerbaijan				268	4580853		4,338		382	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00		
SAMN12011892	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/006/376/415/GCA_006376415.1_ASM637641v1		C-11	1950	Lepus	Russia				217	4377414		4,140		438	2, 1, 1 (5S, 16S, 23S)	2019/06/16 00:00		
SAMN10484567	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/860/145/GCA_003860145.1_ASM386014v1	SRR9192556	81/1	1979	Homo sapiens	Russia				55	5444423		5,798		547	4, 2, 1 (5S, 16S, 23S)	2018/12/03 00:00	2019-08-31 00:34:55	
SAMN10984864		SRR8608848;SRR8608851;SRR8608862;SRR8608881	A1122	N/A	N/A	N/A												2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:55	
SAMN10984860		SRR8608849;SRR8608880;SRR8608852;SRR8608853;SRR8608854;SRR8608855;SRR8608858;SRR8608859;SRR8608868;SRR8608869;SRR8608870;SRR8608871;SRR8608872;SRR8608873;SRR8608874;SRR8608875;SRR8608876;SRR8608877;SRR8608878;SRR8608879	S1037	N/A	N/A	N/A												2019-05-31 00:24:56;2019-05-31 00:24:55;2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:56;2019-05-31 00:24:55;2019-05-31 00:24:55	
SAMN05017638	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/086/155/GCA_003086155.1_ASM308615v1		M-1448	1990-06-28	Spermophilus pygmaeus	Russia				420	4525103		4,293		565	2, 3, 1 (5S, 16S, 23S)	2018/05/02 00:00		
SAMN04376037	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/617/725/GCA_001617725.1_Yersinia_pestis_M-1484		M-1484	1992	Spermophilus pygmaeus	Russia				404	4519703	4,281		1,200		2, 1, 1 (5S, 16S, 23S)	2016/04/08 00:00		
SAMN04376023	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/617/705/GCA_001617705.1_Yersinia_pestis_C-791		C-791	2003	Spermophilus pygmaeus	Russia: The Republic of Dagestan, Babaiurtovskii District				282	4573297	4,255		454		2, 1, 1 (5S, 16S, 23S)	2016/04/08 00:00		
SAMN02999506	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/986/995/GCA_000986995.1_YPES001-SEQ-2-ASM-1	SRR1925409	ZE94-2122	1994	Homo sapiens	Zimbabwe	Orientalis			83	4827235	4,649		85		17 (5S, 16S, 23S)	2015/05/01 00:00	2015-04-13 11:32:02	
SAMN02640305	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/701/065/GCA_000701065.1_Bru1330		1330	unknown	unknown	unknown				112	3280616	3,290		534		3 (5S, 16S, 23S)	2014/06/11 00:00		
SAMN02179219				Oct-2011		China													
SAMN02179218				Oct-2011		China													
SAMN02179217				Oct-2011		China													
SAMN02179216				Oct-2011		China													
SAMN10228585	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/797/205/GCA_003797205.1_ASM379720v1	SRR8283301;SRR8283302	FDAARGOS_605	1969	UCC strain	Bolivia: La Paz				4	4863479		4,692		226	7, 6, 6 (5S, 16S, 23S)	2018/11/19 00:00	2018-12-05 17:12:11;2018-12-05 17:15:11	
SAMN10228584	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/085/GCA_003798085.1_ASM379808v1	SRR8283300;SRR8283299	FDAARGOS_604	1957	Rat	Indonesia: Java				5	4873732		4,708		223	7, 6, 6 (5S, 16S, 23S)	2018/11/19 00:00	2018-12-05 17:12:11	
SAMN10228583	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/205/GCA_003798205.1_ASM379820v1	SRR8072961;SRR8072962	FDAARGOS_603	Unknown	UCC strain	Japan				5	4929654						2018/11/20 00:00	2018-10-19 04:00:12	
SAMN10228582	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/345/GCA_003798345.1_ASM379834v1	SRR8283297;SRR8283298	FDAARGOS_602	1984	UCC strain	USSR				3	4784489						2018/11/20 00:00	2018-12-05 17:12:11	
SAMN10228581	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/225/GCA_003798225.1_ASM379822v1	SRR8072959;SRR8072960	FDAARGOS_601	1954	UCC strain	Democratic Republic of the Congo				4	4930959						2018/11/20 00:00	2018-10-19 04:00:12	
SAMEA5054093		ERR2862151;ERR2862150		2018	Homo sapiens	Norway												2018-12-02 13:21:34	
SAMEA5054092		ERR2862149;ERR2862148		2018	Homo sapiens	Norway												2018-12-02 13:21:34	
SAMEA5054091		ERR2862153		2018	Homo sapiens	Norway												2018-12-02 13:21:34	
SAMEA5054090		ERR2862147		2018	Homo sapiens	Norway												2018-12-02 13:21:34	
SAMEA5054089		ERR2862146		2018	Homo sapiens	Norway												2018-12-02 13:21:34	
SAMEA715985		ERR007662;ERR007661;ERR007665;ERR007660;ERR007664;ERR007659;ERR007663	IP674				Orientalis											2011-03-18 11:33:47;2011-03-18 11:33:47;2011-03-18 11:33:47;2011-03-18 11:33:47;2011-03-18 11:33:47;2011-03-18 11:33:47;2011-03-18 11:33:47	
SAMEA104443954						Czech Republic													
SAMEA104281628	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/460/465/GCA_900460465.1_57940_B01	ERR2246667	NCTC5923	1900/1939	not available					12	4777134						2018/06/29 00:00	2018-01-26 11:18:48	
SAMEA104233048		ERR2112573;ERR2112572;ERR2112571;ERR2112570;ERR2112569;ERR2112552;ERR2112551;ERR2112550;ERR2112549																2017-09-12 11:32:13;2017-09-12 11:32:13;2017-09-12 11:32:13;2017-09-12 11:32:13;2017-09-12 11:32:13;2017-09-12 11:32:13;2017-09-12 11:32:13;2017-09-12 08:21:07;2017-09-12 08:21:07	
SAMEA104233051		ERR2112586;ERR2112585;ERR2112584;ERR2112583;ERR2112565;ERR2112564;ERR2112563;ERR2112568;ERR2112567;ERR2112566;ERR2112562;ERR2112561;ERR2112560;ERR2112559;ERR2112558;ERR2112557;ERR2112556;ERR2112555;ERR2112554;ERR2112553																2017-09-12 11:32:13;2017-09-12 11:32:13;2017-09-12 11:32:13;2017-09-12 11:32:13;2017-09-12 11:32:13;2017-09-12 11:32:13;2017-09-12 11:32:13;2017-09-12 08:23:40;2017-09-12 08:23:40;2017-09-12 08:23:40;2017-09-12 08:23:40;2017-09-12 11:32:13;2017-09-12 11:32:13;2017-09-12 08:23:40;2017-09-12 11:32:13;2017-09-12 11:32:13;2017-09-12 08:21:07;2017-09-12 08:21:07;2017-09-12 08:21:07;2017-09-12 08:21:07	
